symbol,crate,declared_in,status,evidence
new,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\application\src\lib.rs, crates\commercialization\src\lib.rs"
new_ai,domain,crates/domain/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
new_human,domain,crates/domain/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
new_in_memory,storage,crates/storage/src/lib.rs,TEST_ONLY,named only from tests: crates\storage\src\lib.rs
now_utc,storage,crates/storage/src/vault.rs,REACHABLE,named from crates\storage\src\vault.rs
observation,research,crates/research/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\application\src\lib.rs, crates\research\src\lib.rs"
open,storage,crates/storage/src/vault.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\storage\src\vault.rs"
open_pr,application,crates/application/src/lib.rs,TEST_ONLY,named only from tests: crates\application\src\lib.rs
passing_count,research,crates/research/src/lib.rs,TEST_ONLY,named only from tests: crates\research\src\lib.rs
policy,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\crash_reporter\src\lib.rs, crates\evidence\src\lib.rs"
probe_storage,application,crates/application/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\lib.rs
provider_status,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
public_export,domain,crates/domain/src/lib.rs,TEST_ONLY,named only from tests: crates\domain\src\lib.rs
push_scrubbed,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,named from crates\crash_reporter\src\lib.rs
put_blob,storage,crates/storage/src/vault.rs,TEST_ONLY,named only from tests: crates\storage\src\vault.rs
put_conception_event,storage,crates/storage/src/vault.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
reason,provider_transport,crates/provider_transport/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\domain\src\lib.rs, crates\provider_transport\src\lib.rs"
record_conception,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
record_run,commercialization,crates/commercialization/src/lib.rs,TEST_ONLY,named only from tests: crates\commercialization\src\lib.rs
record_span,crash_reporter,crates/crash_reporter/src/lib.rs,TEST_ONLY,named only from tests: crates\crash_reporter\src\lib.rs
redact,evidence,crates/evidence/src/lib.rs,REACHABLE,named from crates\evidence\src\lib.rs
redact_for_non_confidential_export,commercialization,crates/commercialization/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
redact_token_like,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,"named from crates\crash_reporter\src\lib.rs, crates\evidence\src\lib.rs"
redact_with_report,evidence,crates/evidence/src/lib.rs,REACHABLE,named from crates\evidence\src\lib.rs
redacted_detail,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\crash_reporter\src\lib.rs"
register_secret,evidence,crates/evidence/src/lib.rs,TEST_ONLY,named only from tests: crates\evidence\src\lib.rs
register_trusted_key,evidence,crates/evidence/src/lib.rs,TEST_ONLY,named only from tests: crates\evidence\src\lib.rs
request_body,provider_transport,crates/provider_transport/src/lib.rs,REACHABLE,named from crates\provider_transport\src\lib.rs
request_url,provider_transport,crates/provider_transport/src/lib.rs,REACHABLE,named from crates\provider_transport\src\lib.rs
retrieve_blob,storage,crates/storage/src/lib.rs,TEST_ONLY,named only from tests: crates\storage\src\lib.rs
run,desktop,apps/desktop/src-tauri/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\lib.rs, apps\desktop\src-tauri\src\main.rs, crates\commercialization\src\lib.rs"
run_iteration,application,crates/application/src/lib.rs,TEST_ONLY,named only from tests: crates\application\src\lib.rs
run_local_inference,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
run_migrations,storage,crates/storage/src/lib.rs,REACHABLE,"named from crates\storage\src\lib.rs, crates\storage\src\vault.rs"
safe_message,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
sanitize_archive_entry,evidence,crates/evidence/src/lib.rs,TEST_ONLY,named only from tests: crates\evidence\src\lib.rs
sanitize_path,evidence,crates/evidence/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\evidence\src\lib.rs"
sanitize_prompt_injection,mcp_hub,crates/mcp_hub/src/lib.rs,TEST_ONLY,named only from tests: crates\mcp_hub\src\lib.rs
save_record,storage,crates/storage/src/lib.rs,TEST_ONLY,named only from tests: crates\storage\src\lib.rs
search,storage,crates/storage/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\storage\src\lib.rs"
secret_count,evidence,crates/evidence/src/lib.rs,REACHABLE,named from crates\evidence\src\lib.rs
set_fee_paid,patent,crates/patent/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
set_secret,platform_windows,crates/platform_windows/src/lib.rs,REACHABLE,named from crates\platform_windows\src\lib.rs
sha256_hex,storage,crates/storage/src/vault.rs,REACHABLE,"named from crates\storage\src\lib.rs, crates\storage\src\vault.rs"
start,research,crates/research/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\patent\src\lib.rs, crates\research\src\lib.rs"
start_soak,application,crates/application/src/lib.rs,TEST_ONLY,named only from tests: crates\application\src\lib.rs
stop_and_reconcile,application,crates/application/src/lib.rs,TEST_ONLY,named only from tests: crates\application\src\lib.rs
storage_root,desktop,apps/desktop/src-tauri/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\lib.rs
store_blob,storage,crates/storage/src/lib.rs,TEST_ONLY,named only from tests: crates\storage\src\lib.rs
submit_strategy,research,crates/research/src/lib.rs,TEST_ONLY,named only from tests: crates\research\src\lib.rs
success,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, apps\desktop\src-tauri\src\lib.rs, crates\application\src\lib.rs"
validate,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\research\src\lib.rs"
validate_handoff,patent,crates/patent/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
validation,desktop,apps/desktop/src-tauri/src/commands.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
vault_file,desktop,apps/desktop/src-tauri/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\lib.rs
verify_audit_chain,storage,crates/storage/src/vault.rs,TEST_ONLY,"named only from tests: apps\desktop\src-tauri\src\commands.rs, crates\storage\src\vault.rs"
verify_domain_regression,commercialization,crates/commercialization/src/lib.rs,TEST_ONLY,named only from tests: crates\commercialization\src\lib.rs
with_secret,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
